"Nome Popular","Nome Científico","Tipo de Planta","Parte Comestível","Uso Principal"
"Aipo-chimarrão","Cyclospermum leptophyllum","Erva aromática","Folhas","Chás, condimento"
"Alfavaca-anisada","Ocimum carnosum","Erva aromática","Folhas","Chás, temperos"
"Alfavaca-cravo","Ocimum gratissimum","Erva aromática","Folhas","Temperos"
"Alho social","Tulbaghia violacea","Hortaliça","Folhas, flores","Substituto de alho"
"Almeirão-roxo","Lactuca indica","Hortaliça","Folhas","Saladas, refogados"
"Almeirão","Cichorium intybus","Hortaliça","Folhas","Refogados"
"Amendoeira","Terminalia catappa","Árvore frutífera","Sementes","In natura, farinha"
"Amora-branca","Rubus brasiliensis","Arbusto frutífero","Frutos","Sucos, doces, in natura"
"Amora cultivada s/ espinho","Rubus fruticosus","Arbusto frutífero","Frutos","Sucos, sobremesas"
"Amora-de-árvore","Morus nigra","Árvore frutífera","Frutos","Sucos, doces, geleias"
"Amora preta Himalaia","Rubus niveus","Arbusto frutífero","Frutos","Geleias, sucos"
"Amora-rosa","Rubus imperialis","Arbusto frutífero","Frutos","In natura, sobremesas"
"Amora-silvestre","Rubus rosifolius","Arbusto frutífero","Frutos","Compotas, sucos"
"Amora-verde","Morus alba","Árvore frutífera","Frutos","In natura, doces"
"Ananá","Ananas bracteatus","Herbácea tropical","Fruto","Ornamental e comestível"
"Andorinha-tagetes","Tagetes minuta","Erva aromática","Folhas","Temperos"
"Araçá-boi","Eugenia stipitata","Arbusto frutífero","Frutos","Sucos, geleias"
"Araçá","Psidium cattleyanum","Arbusto frutífero","Frutos","Sucos, doces"
"Araruta","Maranta arundinacea","Rizomatosa","Raiz","Produção de fécula/farinha"
"Araticum","Annona sylvatica","Árvore frutífera","Fruto","Consumo in natura"
"Araucária","Araucaria angustifolia","Árvore conífera","Sementes (pinhão)","Cozido, farinhas"
"Aroeira","Schinus terebinthifolia","Árvore nativa","Frutos","Condimento tipo ""pimenta rosa"""
